ID,AGE,Gender,NATIONALITY,RESIDENCE,TYPE_CLIENT,HasCrdCard,IsActiveMember,MARITAL_STATUS,ONLINE_ACTUAL_BAL,Account-AGE,Excited,ACCOUNT_OFFICER,Id
"C9ACCC78CA15B1B0,112,female,TN,TN,PP,0,0,others,""€ 1053,31"",39,0,20,4EBA5C91BAE45D64389C7C98C691B4CC"
"D2162FB25799BB61,112,male,TN,TN,PP,0,1,others,""€ 3919,42"",29,0,4,A3777E637B5298CC20BC65B197235E9B"
"D5E0E4F47321C8B7,112,female,TN,TN,PP,1,0,others,""€ 83,47"",38,0,40,74D3BF26D41959F707CDCC09BE74E2EE"
"DA639ABB65C7E446,112,male,TN,TN,PP,0,1,others,""€ 5,18"",29,0,78,1F5B74DD9FCCC83F958DD4064D41306D"
"DAE413470D142B9C,112,female,FR,FR,PP,0,0,others,""€ 50,54"",43,0,60,02222B9446A82B05DE77617D2AB319C2"
"DBD7A9849C97ED0A,112,male,TN,TN,PP,1,0,others,""€ 14,06"",39,0,61,BA5BD9AA6A4C44D570D3365F1BF9A9EF"
"EF53C4A874F54320,112,male,TN,TN,PP,0,0,others,""€ 147,06"",18,1,52,162BD7ED099ED507A45C2B07DF738580"
"FC3581CB2B1E61D7,112,female,TN,TN,PP,0,0,others,""€ 115,80"",30,1,20,5F45823DA8094C59AF04A6EA2C9A095D"
"156F069CCFA7107B,111,male,GB,GB,PP,0,1,others,""€ 2248,94"",43,0,60,4367A637604EBD476832E4B9AEEF5AB4"
"15823F14FA1BAAC6,111,female,TN,TN,PP,1,1,others,""€ 7,73"",38,0,40,10E114BFAA6457A9965DE7E45D6CFD6B"
"26BBFFAAAE065836,111,male,TN,TN,PP,1,0,others,""€ 27,74"",25,0,25,AD2BCFA9672C5B61D7DE838AD1CE9AF8"
"391B7FE6744F4063,111,female,TN,TN,PP,0,0,others,""€ 316,97"",26,0,29,7C7625B22D56292D7B701B77E82056DC"
"3BDBF34743333C65,111,female,TN,TN,PP,0,1,others,""€ 260,75"",40,1,61,0DBB07F6EF12C59978DDE4B61BAAA224"
"3CD713C829521CBF,111,female,TN,TN,PP,1,0,others,""€ 13,84"",30,1,32,9DF0BD4A05A9BA35F35A4948B8EEB9B4"
"4244B26E28C3A94B,111,female,TN,TN,PP,1,1,others,""€ 232,63"",27,0,25,7A912E862F33597B533C033093D06DA0"
"495B125B6616D4B6,111,female,TN,TN,PP,0,0,others,""€ 247,37"",39,0,108,9740239F20EBDB11B25800CE1F0D4DC1"
"498F626E47BB356C,111,female,TN,TN,PP,0,0,others,""€ 241,88"",36,1,42,231387A796B3D8E53AA5D5EE128C1074"
"49A5A4E6B50D727A,111,female,TN,TN,PP,0,1,others,""€ 749,63"",43,0,17,DAE186268A5E94A8389C516B67620D79"
"4AB65F577783B4D5,111,female,TN,TN,PP,1,0,others,""€ 45,50"",32,0,42,9DFD033F275B13643B3CEB4DC3C847D4"
"4AC9F297C69DF1C8,111,male,FR,TN,PP,1,0,others,""€ 762,55"",43,1,20,FE837E268CA89D7C15BA8A2116694C82"
"5ABF777B64AAAD79,111,female,TN,TN,PP,0,0,others,""€ 13808,73"",39,1,61,C7A1BAD25525052E7D6CA7956C08D265"
"5DEC5CFC24594E1B,111,female,IT,IT,PP,0,1,others,""€ 293,65"",33,0,60,0F6CD4F199F81CC1C8E6B7E7AEE3DEA4"
"5F984DA4F49F02A3,111,male,FR,TN,PP,1,0,others,""€ 2175,46"",12,0,116,90AC360A3A30650EA7BB47EBB7FCD547"
"73B329AAAA5DC247,111,male,TN,TN,PP,1,0,others,""€ 33,38"",30,1,36,6A66792A3D00D82636963509AD0F3A9C"
"75EE7286886678E1,111,female,TN,TN,PP,0,1,others,""-€ 32,09"",38,0,67,B49EF9E04394819E624635F6DD0B398D"
